Species,Order,Family,Extinct in Caribbean,Endemic to Caribbean,Acklins,Crooked Island,Fortune Island,East Caicos,Middle Caicos,North Caicos,Providenciales,Andros,Cat Island,Darby,Eleuthera Island,Great Exuma,Little Exuma,Long Island,New Providence,Ragged Island,Great Inagua,Little Inagua,Grand Bahama,Great Abaco,Little Abaco,Mayaguana,East Plana Cay,San Salvador,Cayman Brac,Little Cayman,Archipielago de Samana,Cayo Ballentino del Medio,Cayo de la Piedra,Cayo Fragoso,Cayo Largo,Cayo Maya,Cayos de Ana Maria,Cuba,Isle of Pines,Samana Cay,San Felipe Cays,Grand Cayman,Hispaniola,Ile de la Gonave,Ile de la Tortue,Jamaica,Mona,Navassa,Anegada,Culebra,Guana,Jost van Dyke,Puerto Rico,St. John,St. Thomas,Tortola,Vieques,Virgin Gorda,St. Croix,Anguilla,St. Barthelemy,St. Eustatius,St. Martin,Tintamarre,Antigua,Barbuda,Barbados,Dominica,Bequia,Carriacou,Grenada,Mustique,Union,Guadeloupe,La Desirade,Marie Galante,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,Little Swan Island,Providencia,San Andres
,,,,,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Lesser Antilles,Other,Other,Other
Glossophaga soricina,Chiroptera,Phyllostomidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macrotus waterhousii,Chiroptera,Phyllostomidae,,1,Acklins,Crooked Island,,East Caicos,Middle Caicosæ,North Caicos,Providenciales,Andros,Cat Island,Darby,Eleuthera Island,Great Exuma,Little Exuma,Long Island,New Providence,,Great Inagua,,,Great Abaco,,,East Plana Cay,San Salvador,Cayman Brac,Little Cayman,,,,,,,,Cuba,Isle of Pines,,,Grand Cayman,Hispaniola,Ile de la Gonaveæ,,Jamaica,,Navassa,,,,,Puerto Ricoæ,,,,,,,Anguillaæ,,,,,,,,,,,,,,,,,,,,,,,,,,
Monophyllus plethodon,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Ricoæ,,,,,,,Anguilla,St. Barthelemy,,St. Martin,,Antigua,Barbuda,Barbados,Dominica,,,,,,Guadeloupe,,,Martinique,Montserrat,Saba,St. Lucia,St. Vincent,Nevis,St. Kitts,,,
Monophyllus redmani,Chiroptera,Phyllostomidae,,1,Acklins,Crooked Island,,,Middle Caicos,North Caicos,Providenciales,Androsæ,,,,,,,New Providenceæ,,,,,Great Abacoæ,,,,,Cayman Bracæ,,,,,,,,,Cuba,Isle of Pines,,,Grand Caymanæ,Hispaniola,Ile de la Gonaveæ,,Jamaica,,,,,,,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllonycteris aphylla,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllonycteris major,Chiroptera,Phyllostomidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Ricoæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllonycteris poeyi,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,New Providenceæ,,,,,Great Abacoæ,,,,,Cayman Bracæ,,,,,,,,,Cuba,Isle of Pines,,,,Hispaniola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllops falcatus,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Brac,,,,,,,,,Cuba,Isle of Pinesæ,,,Grand Cayman,Hispaniola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllops silvai,Chiroptera,Phyllostomidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllops vetus,Chiroptera,Phyllostomidae,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenoderma rufum,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Rico,St. John,St. Thomas,,Vieques,,St. Croix,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturnira lilium,Chiroptera,Phyllostomidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,,,Grenada,,,,,,Martinique,,,St. Lucia,St. Vincent,,,,,
Sturnira thomasi,Chiroptera,Phyllostomidae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guadeloupe,,,,Montserrat,,,,,,,,
Tonatia saurophila,Chiroptera,Phyllostomidae,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamaicaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antrozous pallidus,Chiroptera,Vespertilionidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
